codmes|cliente|edad|ingreso|sexo|flgLimaProv|flgAfBxi|grupoGiro|monto|trx
201611|00031860|[4. <=40]|[4. <=3500]|M|1|1|entretenimiento|35|2
201611|00031924|[4. <=40]|[3. <=2500]|M|1|0|vehrep|10|1
201612|00018839|[6. <=55]|[2. <=1500]|F|1|1|restbar|8|1
201612|00013433|[5. <=45]|[3. <=2500]|F|1|1|restbar|149|2
201612|00013464|[2. <=30]|[2. <=1500]|M|1|1|vehrep|10|1
201612|00018580|[2. <=30]|[2. <=1500]|F|1|1|restbar|94|2
201612|00014934|[3. <=35]|[2. <=1500]|F|1|1|restbar|80|1
201612|00022621|[3. <=35]|[2. <=1500]|M|1|1|restbar|28|1
201612|00022801|[1. <=25]|[2. <=1500]|M|1|1|restbar|50|1
201612|00027791|[2. <=30]|[5. <=4500]|F|1|1|restbar|147|1
201612|00014897|[3. <=35]|[4. <=3500]|M|1|1|restbar|50|1
201612|00012863|[4. <=40]|[2. <=1500]|M|1|0|restbar|82|1
201612|00013081|[4. <=40]|[4. <=3500]|F|0|0|restbar|150|1
201612|00011238|[3. <=35]|[3. <=2500]|M|1|1|alqbienes|62|1
201612|00017543|[2. <=30]|[2. <=1500]|F|0|1|vehrep|50|1
201612|00017587|[3. <=35]|[2. <=1500]|F|1|0|restbar|42|1
201612|00006721|[5. <=45]|[2. <=1500]|M|0|0|vehrep|25|2
201612|00007658|[3. <=35]|[3. <=2500]|M|0|1|vehrep|14|1
201612|00008037|[4. <=40]|[3. <=2500]|F|1|0|restbar|113|4
201612|00008400|[3. <=35]|[4. <=3500]|F|1|0|restbar|14|1
201612|00017373|[2. <=30]|[4. <=3500]|M|0|1|restbar|26|1
201612|00017756|[3. <=35]|[3. <=2500]|F|1|1|restbar|370|4
201612|00019164|[4. <=40]|[4. <=3500]|F|0|1|restbar|102|1
201612|00018555|[2. <=30]|[2. <=1500]|F|0|1|restbar|62|1
201612|00024773|[1. <=25]|[3. <=2500]|F|1|1|entretenimiento|32|1
201611|00034961|[2. <=30]||M|1|1|restbar|53|1
201612|00009569|[6. <=55]|[3. <=2500]|M|1|1|vehrep|165|9
201612|00009569|[6. <=55]|[3. <=2500]|M|1|1|restbar|204|3
201612|00010233|[6. <=55]|[2. <=1500]|M|1|0|restbar|52|1
201612|00010356|[3. <=35]|[4. <=3500]|M|1|1|vehrep|29|1
201612|00003267|[6. <=55]|[3. <=2500]|M|1|1|vehrep|90|4
201612|00000393|[7. > 55]|[4. <=3500]|F|1|0|prodlocal|10|1
201612|00005903|[5. <=45]|[6. <=6000]|F|1|1|entretenimiento|55|4
201612|00003744|[6. <=55]|[4. <=3500]|F|1|1|restbar|60|1
201612|00018657|[4. <=40]|[2. <=1500]|M|1|0|prodsuper|19|1
201612|00029472||||||prodsuper|15|1
201612|00019384|[2. <=30]|[2. <=1500]|M|1|1|prodsuper|7|1
