cliente|edad|ingreso|sexo|flgLimaprov|trxAplus|trxAtm|trxBcaex|trxBm|trxBxi|trxIvr|trxPostc|trxPostd|trxSalex|trxSbt|trxVent|trx
00000558|[7. > 55]|[7. <=8000]|F|1|1.9999999999999998|117|24|0|0|7.9999999999999991|101|106|82|15.999999999999998|35|491
00000563|[7. > 55]|[6. <=6000]|F|1|0|70|0|0|0|0|0|59|0|0|37|166
00000571|[7. > 55]|[8. > 8000]|M|0|0|331|2|0|0|1|10|106|5|1|30|486
00000594|[7. > 55]|[8. > 8000]|M|1|0|86|0|0|0|0|0|0|0|0|2|88
00000603|[7. > 55]|[2. <=1500]|F|1|0|41|0|0|0|0|0|0|0|0|0|41
00000609|[6. <=55]|[4. <=3500]|M|1|0|192|2|0|0|0|0|0|0|0|4|198
00000621|[7. > 55]|[5. <=4500]|M|1|0|176|2|0|0|2|0|9|0|2|4|195
00000642|[7. > 55]|[1. <=700]|M|0|0|36|1.9999999999999998|281|0|0|0|12.000000000000002|13|0|3.0000000000000004|347
00000650|[7. > 55]|[3. <=2500]|F|1|2|69|4|0|140|2|1|124|3|7.0000000000000009|2|354
00000667|[7. > 55]|[6. <=6000]|F|1|0|31|0|0|0|0|0|46.000000000000007|0|1|6|84
00000672|[7. > 55]|[5. <=4500]|F|1|1|18|0|0|0|0|0|0|2|3|12|36
00000678||[3. <=2500]|M|1|0|24|0|0|0|0|0|0|0|0|1|25
00000757|[7. > 55]|[1. <=700]|M|1|0|1|0|0|0|0|0|0|0|0|13|14
00000759|[7. > 55]|[8. > 8000]|F|1|0|87|0|0|18|2|202|0|5|8|17|339
00000764|[6. <=55]|[6. <=6000]|M|1|0|134|0.99999999999999989|0|60|3.9999999999999996|1.9999999999999998|44|0|5|3|253
00000771|[7. > 55]|[7. <=8000]|F|1|0|70|0|5554|8646|6|0|28.999999999999996|0|6|5|14316
00000795|[6. <=55]|[5. <=4500]|M|1|0|59|0|0|0|0|29|0|53|11.000000000000002|15|167
00000827|[6. <=55]|[4. <=3500]|F|1|0|30|0|7|598|6|0|29|1|2|45|718
00000831|[7. > 55]|[7. <=8000]|M|1|0|0|0|0|0|0|0|0|8|0|15|23
00000832|[7. > 55]|[7. <=8000]|M|1|0|60|0|0|574|0|0|15|1|2|8|660
00000841|[7. > 55]|[7. <=8000]|F|1|5|100|0|0|2940|2|77|26|2|10|1|3163
00000251|[7. > 55]|[3. <=2500]|F|1|0|2|0|0|13|0|0|0|0|0|0|15
00000293|[6. <=55]|[6. <=6000]|M|1|0|0|0|0|0|4|40|0|0|14|0|58
00000300|[7. > 55]|[7. <=8000]|F|0|0|152|0|0|0|0|0|21|0|0|11|184
00000307|[6. <=55]|[3. <=2500]|M|0|0|1|0|0|0|0|0|0|0|1|11|13
00000308|[6. <=55]|[1. <=700]|F|1|0|104|0|0|0|0|0|41|12|0|6|163
00000337|[7. > 55]|[3. <=2500]|F|1|0|3|0|0|9|2|62|0|0|0|1|77
00000347|[7. > 55]|[1. <=700]|M|0|0|49|0|0|0|0|0|1|0|0|8|58
00000355|[7. > 55]|[6. <=6000]|M|1|0|18|1|0|0|4|71|0|23|12|7|136
00000370|[7. > 55]|[4. <=3500]|F|1|0|0|0|0|0|0|0|0|2|0|16|18
00000377|[7. > 55]|[4. <=3500]|F|1|0|20|0|0|0|0|0|0|0|3|0|23
00000378|[7. > 55]|[3. <=2500]|F|1|0|309|26|0|8|2|0|113|2|1|3|464
00000385|[7. > 55]|[6. <=6000]|M|1|0|278|0|32|2940|3|0|62|0|10|4|3329
00000390|[7. > 55]|[6. <=6000]|F|1|0|53|1|0|894|0|0|14|1|2|9|974
00000391|[6. <=55]|[6. <=6000]|M|1|3|84|4|1004|1537|29.999999999999996|59.000000000000007|168|4|31|4|2928
00000404|[7. > 55]|[7. <=8000]|F|1|0|54|0|0|2|0|0|0|0|2|0|58
00000411|[7. > 55]|[7. <=8000]|M|1|9|199|1|0|0|0|0|0|6.9999999999999991|0|6|222
00000420|[7. > 55]|[2. <=1500]|F|1|0|5|0|0|0|0|0|0|0|8|3|16
00000427|[7. > 55]|[4. <=3500]|M|1|0|158|0|0|0|2|1|0|0|7|12|180
